id,label,message,cleaned_text,text_length,word_count
0,0,具有重新设计的全新视觉效果和操控xxx,具有 重新 设计 全新 视觉效果 操控 xxx,23,7
1,0,又去了一次海陵岛不为什么就因为太美,一次 海陵 为什么,9,3
2,0,xxxExxxxxxx，陈先生您已购06月03日Dxxx次03车10C号大连北14:48开。请尽快换取纸质车票。【xxx】,xxxExxxxxxx 陈先生 已购 06 03 Dxxx 03 10C 大连 14 48 尽快 换取 纸质 车票 xxx,61,16
3,0,"真的是最后的绝唱,你们走了NBA联盟还剩下什么",真的 最后 绝唱 NBA 联盟 剩下 什么,21,7
4,0,工程师为其设计了四种驱动模式,工程师 设计 四种 驱动 模式,15,5
5,0,刚刚打开电梯门就被保安赶回电梯,刚刚 打开 电梯门 保安 赶回 电梯,18,6
6,0,可以微波炉30秒使用也可以冷藏30分xxx,微波炉 30 使用 冷藏 30 xxx,19,6
9,0,明天去xxxxxxx南京科技馆，爸爸带你去涨知识,明天 xxxxxxx 南京 科技馆 爸爸 带你去 知识,27,7
10,0,"一个月内“堵车门”盗窃7起,真的假的",一个月 堵车 盗窃 真的假,13,4
11,0,劳xor贝xx首发将有主教练来决定耶,xor xx 首发 主教练 决定,16,5
12,0,昨天半夜三更Openxxxxxx基金会宣布xxxxx已加入基xxx,昨天 半夜三更 Openxxxxxx 基金会 宣布 xxxxx 加入 xxx,38,8
13,0,14年5月9xxx，到底发生了什么,14 9xxx 到底 发生 什么,16,5
14,0,多维片可以提供一份营养保险,多维 提供 一份 营养 保险,14,5
15,0,xxx…………5o号家的旁晚风光,xxx 5o 号家 旁晚 风光,15,5
16,0,xxx”——可以躲在“高尔夫球车”上,xxx 高尔夫球,8,2
17,0,昨天下午茶是蜂蜜厚多士配八喜冰淇淋,昨天下午 蜂蜜 厚多士配 八喜 冰淇淋,19,5
19,0,大家可以去xxxxxx搜索下一堆,大家 xxxxxx 搜索 一堆,15,4
21,0,注意7月25日中午苏州xxxx公司三车间主管谭xx准备来深入各班组,注意 25 中午 苏州 xxxx 公司 车间 主管 xx 准备 深入 班组,37,12
22,0,黄xx一行准备要实地考察了xxxxx有限公司、xx汽车客运站、xxx,xx 一行 准备 实地考察 xxxxx 有限公司 xx 汽车 客运站 xxx,38,10
23,0,车辆的交通违法款项也正在追缴之中,车辆 交通 违法 款项 正在 追缴 之中,20,7
